COMPANY,ticker,ticker1
Lakshmi Machine Works Ltd,500252,LAXMIMACH.NS
Larsen & Toubro Infotech Ltd,540005,LTI.NS
Larsen & Toubro Ltd,500510,LT.NS
Laurus Labs Ltd,540222,LAURUSLABS.NS
Lemon Tree Hotels Ltd,541233,LEMONTREE.NS
LIC Housing Finance Ltd,500253,LICHSGFIN.NS
Linde India Ltd,523457,LINDEINDIA.NS
Lupin Ltd,500257,LUPIN.NS
Lux Industries Ltd,539542,LUXIND.NS
Magma Fincorp Ltd.,524000,MAGMA.NS
Mahanagar Gas Ltd,539957,MGL.NS
Maharashtra Scooters Ltd.,500266,MAHSCOOTER.NS
Mahindra & Mahindra Financial Services Ltd,532720,M&MFIN.NS
Mahindra & Mahindra Ltd,500520,M&M.NS
Mahindra CIE Automotive Ltd,532756,MAHINDCIE.NS
Mahindra Holidays & Resorts India Ltd,533088,MHRIL.NS
Mahindra Lifespace Developers Ltd,532313,MAHLIFE.NS
Mahindra Logistics Ltd,540768,MAHLOG.NS
Manappuram Finance Ltd,531213,MANAPPURAM.NS
Mangalore Refinery & Petrochemicals Ltd,500109,MRPL.NS
Marico Ltd,531642,MARICO.NS
Maruti Suzuki India Ltd,532500,MARUTI.NS
Max Financial Services Ltd,500271,MFSL.NS
Merck Ltd. (Procter & Gamble Health Ltd),500126,PGHL.NS
Minda Corporation Ltd,538962,MINDACORP.NS
Minda Industries Ltd,532539,MINDAIND.NS
MindTree Ltd,532819,MINDTREE.NS
MMTC LTD,513377,MMTC.NS
MOIL Ltd,533286,MOIL.NS
Motherson Sumi Systems Ltd,517334,MOTHERSUMI.NS
Motilal Oswal Financial Services Ltd,532892,MOTILALOFS.NS
MphasiS Ltd,526299,MPHASIS.NS
MRF Ltd,500290,MRF.NS
Muthoot Finance Ltd,533398,MUTHOOTFIN.NS
Narayana Hrudayalaya Ltd,539551,NH.NS
Natco Pharma Ltd,524816,NATCOPHARM.NS
National Aluminium Co Ltd,532234,NATIONALUM.NS
